feature,importance
precipitation,0.18014453666998922
wind_direction_10m,0.14941864458264278
rain,0.12913581952930744
dew_point_2m,0.12451227124944884
wind_speed_10m,0.10485723077623094
cloud_cover_high,0.08202690528971118
cloud_cover_mid,0.05365764372462832
surface_pressure,0.04657293094384848
pressure_msl,0.03880457587264399
cloud_cover,0.02983517999042762
cloud_cover_low,0.028361617652579243
temperature_2m,0.018260737606749535
relative_humidity_2m,0.01136750849913461
shortwave_radiation,0.0030443976126578345
